Timestamp,Subsystem,Component,LogMessage,FaultType
7/1/2025 12:10,SignalModule,SignalRelay,Track circuit 962 failed self-check,Track Circuit Failure
7/7/2025 16:21,OnboardUnit,TrackCircuit,Log entry could not be classified,Unknown
7/5/2025 6:22,OnboardUnit,ZoneLink,Log entry could not be classified,Unknown
7/1/2025 9:07,TracksideSensor,BaliseReader,Undocumented fault condition encountered,Unknown
7/3/2025 15:57,ZoneController,ZoneLink,Track circuit 296 is showing occupied for too long,Track Circuit Failure
7/3/2025 6:09,ATS,ZoneLink,Balise reader on train 683 failed to detect balise at position 46,Balise Error
7/7/2025 22:50,ATS,SignalRelay,Track circuit 381 is showing occupied for too long,Track Circuit Failure
7/7/2025 4:02,ATS,BaliseReader,Signal overlap detected between train 195 and train 25,Signal Conflict
7/6/2025 11:40,SignalModule,TrainControl,Lost communication with train ID 580,Communication Fault
7/1/2025 10:52,OnboardUnit,BaliseReader,Track circuit 528 failed self-check,Track Circuit Failure
7/6/2025 4:20,OnboardUnit,ZoneLink,Unexpected system restart,Unknown
7/6/2025 2:47,OnboardUnit,ZoneLink,Track circuit 728 is showing occupied for too long,Track Circuit Failure
7/5/2025 8:31,ATS,TrackCircuit,Undocumented fault condition encountered,Unknown
7/4/2025 22:21,ATS,SignalRelay,Signal module 181 sent conflicting commands,Signal Conflict
7/5/2025 1:21,ZoneController,SignalRelay,Signal module 859 sent conflicting commands,Signal Conflict
7/5/2025 9:23,ATS,SignalRelay,No response from Zone Controller 430,Communication Fault
7/4/2025 19:04,SignalModule,TrackCircuit,Balise ID 398 not recognized by Zone Controller,Balise Error
7/7/2025 6:36,TracksideSensor,SignalRelay,Signal module 313 sent conflicting commands,Signal Conflict
7/1/2025 11:13,ZoneController,TrainControl,Track circuit 249 is showing occupied for too long,Track Circuit Failure
7/6/2025 6:22,ZoneController,TrackCircuit,Unexpected system restart,Unknown
7/2/2025 21:29,OnboardUnit,SignalRelay,Balise ID 579 not recognized by Zone Controller,Balise Error
7/4/2025 8:51,SignalModule,SignalRelay,Signal module 117 sent conflicting commands,Signal Conflict
7/4/2025 2:19,TracksideSensor,ZoneLink,Signal overlap detected between train 314 and train 5,Signal Conflict
7/3/2025 11:25,OnboardUnit,TrackCircuit,Signal module 206 sent conflicting commands,Signal Conflict
7/6/2025 10:34,ZoneController,TrainControl,Track circuit 216 failed self-check,Track Circuit Failure
7/7/2025 11:03,ZoneController,TrainControl,Log entry could not be classified,Unknown
7/4/2025 14:22,TracksideSensor,TrackCircuit,Balise ID 830 not recognized by Zone Controller,Balise Error
7/7/2025 1:38,OnboardUnit,TrainControl,Lost communication with train ID 181,Communication Fault
7/7/2025 6:34,ATS,TrainControl,Signal module 888 sent conflicting commands,Signal Conflict
7/3/2025 11:07,ATS,TrackCircuit,Track circuit 170 failed self-check,Track Circuit Failure
7/5/2025 13:49,TracksideSensor,BaliseReader,Balise reader on train 812 failed to detect balise at position 30,Balise Error
7/7/2025 4:53,ZoneController,TrackCircuit,Track circuit 369 failed self-check,Track Circuit Failure
7/7/2025 22:15,TracksideSensor,BaliseReader,Track circuit 813 is showing occupied for too long,Track Circuit Failure
7/2/2025 19:49,ATS,TrackCircuit,Balise ID 832 not recognized by Zone Controller,Balise Error
7/5/2025 6:30,ZoneController,TrainControl,Lost communication with train ID 166,Communication Fault
7/6/2025 18:43,ZoneController,BaliseReader,Unexpected system restart,Unknown
7/7/2025 15:22,TracksideSensor,TrainControl,Timeout while sending data to ATS,Communication Fault
7/6/2025 0:20,SignalModule,TrackCircuit,Lost communication with train ID 729,Communication Fault
7/5/2025 16:22,ATS,SignalRelay,Timeout while sending data to ATS,Communication Fault
7/2/2025 3:45,ZoneController,BaliseReader,Unexpected system restart,Unknown
7/2/2025 5:35,ZoneController,SignalRelay,Signal module 204 sent conflicting commands,Signal Conflict
7/7/2025 13:51,ATS,TrainControl,Track circuit 652 failed self-check,Track Circuit Failure
7/5/2025 6:54,ZoneController,SignalRelay,Balise reader on train 969 failed to detect balise at position 5,Balise Error
7/7/2025 10:09,ZoneController,BaliseReader,Undocumented fault condition encountered,Unknown
7/4/2025 20:58,ATS,BaliseReader,Signal module 783 sent conflicting commands,Signal Conflict
7/7/2025 23:55,ZoneController,BaliseReader,Balise reader on train 869 failed to detect balise at position 50,Balise Error
7/4/2025 17:55,SignalModule,TrainControl,Unexpected system restart,Unknown
7/2/2025 2:11,OnboardUnit,TrackCircuit,Log entry could not be classified,Unknown
7/2/2025 22:21,ZoneController,SignalRelay,Undocumented fault condition encountered,Unknown
7/5/2025 4:32,OnboardUnit,BaliseReader,Balise ID 642 not recognized by Zone Controller,Balise Error
7/4/2025 20:26,ZoneController,TrackCircuit,Balise reader on train 174 failed to detect balise at position 28,Balise Error
7/4/2025 13:59,ATS,BaliseReader,Lost communication with train ID 802,Communication Fault
7/5/2025 4:42,ATS,BaliseReader,Track circuit 426 failed self-check,Track Circuit Failure
7/2/2025 6:14,ATS,ZoneLink,Balise ID 536 not recognized by Zone Controller,Balise Error
7/1/2025 6:41,ATS,TrainControl,Log entry could not be classified,Unknown
7/1/2025 16:22,ZoneController,TrackCircuit,Log entry could not be classified,Unknown
7/2/2025 11:31,ATS,BaliseReader,Timeout while sending data to ATS,Communication Fault
7/6/2025 13:09,TracksideSensor,BaliseReader,Balise reader on train 756 failed to detect balise at position 10,Balise Error
7/3/2025 2:49,OnboardUnit,BaliseReader,Balise reader on train 716 failed to detect balise at position 24,Balise Error
7/3/2025 2:35,SignalModule,TrainControl,Track circuit 259 is showing occupied for too long,Track Circuit Failure
7/4/2025 9:03,TracksideSensor,TrainControl,Balise ID 351 not recognized by Zone Controller,Balise Error
7/6/2025 4:08,ATS,TrackCircuit,Lost communication with train ID 686,Communication Fault
7/3/2025 11:23,SignalModule,TrainControl,No response from Zone Controller 608,Communication Fault
7/6/2025 23:32,SignalModule,BaliseReader,Signal module 741 sent conflicting commands,Signal Conflict
7/7/2025 2:21,ATS,BaliseReader,Undocumented fault condition encountered,Unknown
7/7/2025 15:11,OnboardUnit,BaliseReader,Balise ID 539 not recognized by Zone Controller,Balise Error
7/3/2025 2:25,ZoneController,TrackCircuit,Balise reader on train 433 failed to detect balise at position 13,Balise Error
7/2/2025 3:45,SignalModule,SignalRelay,Log entry could not be classified,Unknown
7/6/2025 17:33,ZoneController,SignalRelay,Lost communication with train ID 746,Communication Fault
7/7/2025 19:54,SignalModule,TrainControl,Balise reader on train 470 failed to detect balise at position 48,Balise Error
7/2/2025 20:23,OnboardUnit,BaliseReader,Track circuit 692 is showing occupied for too long,Track Circuit Failure
7/1/2025 11:48,SignalModule,SignalRelay,Signal overlap detected between train 906 and train 39,Signal Conflict
7/2/2025 12:04,OnboardUnit,TrainControl,Signal overlap detected between train 554 and train 26,Signal Conflict
7/3/2025 6:43,ATS,TrackCircuit,Signal module 703 sent conflicting commands,Signal Conflict
7/4/2025 4:55,OnboardUnit,SignalRelay,Undocumented fault condition encountered,Unknown
7/6/2025 12:57,SignalModule,SignalRelay,Signal overlap detected between train 680 and train 20,Signal Conflict
7/5/2025 16:48,SignalModule,BaliseReader,Track circuit 607 is showing occupied for too long,Track Circuit Failure
7/7/2025 10:04,TracksideSensor,BaliseReader,Balise ID 237 not recognized by Zone Controller,Balise Error
7/2/2025 18:57,ATS,TrackCircuit,Lost communication with train ID 269,Communication Fault
7/4/2025 13:58,ATS,TrainControl,Track circuit 242 is showing occupied for too long,Track Circuit Failure
7/5/2025 15:10,ATS,TrackCircuit,Track circuit 678 failed self-check,Track Circuit Failure
7/3/2025 6:47,SignalModule,TrackCircuit,Signal module 938 sent conflicting commands,Signal Conflict
7/4/2025 6:36,ZoneController,BaliseReader,Signal overlap detected between train 768 and train 32,Signal Conflict
7/3/2025 12:15,SignalModule,SignalRelay,Track circuit 137 failed self-check,Track Circuit Failure
7/7/2025 12:34,SignalModule,SignalRelay,Track circuit 887 failed self-check,Track Circuit Failure
7/6/2025 6:51,OnboardUnit,TrainControl,Balise ID 975 not recognized by Zone Controller,Balise Error
7/5/2025 21:36,OnboardUnit,SignalRelay,Signal overlap detected between train 972 and train 13,Signal Conflict
7/7/2025 5:26,OnboardUnit,TrackCircuit,Unexpected system restart,Unknown
7/3/2025 8:12,ATS,BaliseReader,Track circuit 596 is showing occupied for too long,Track Circuit Failure
7/5/2025 22:26,ATS,ZoneLink,Undocumented fault condition encountered,Unknown
7/4/2025 18:22,SignalModule,SignalRelay,Signal module 321 sent conflicting commands,Signal Conflict
7/6/2025 5:56,ATS,ZoneLink,Lost communication with train ID 844,Communication Fault
7/6/2025 21:26,OnboardUnit,BaliseReader,Track circuit 244 is showing occupied for too long,Track Circuit Failure
7/7/2025 12:13,SignalModule,ZoneLink,Unexpected system restart,Unknown
7/5/2025 7:34,ZoneController,TrainControl,Track circuit 287 is showing occupied for too long,Track Circuit Failure
7/8/2025 1:03,OnboardUnit,SignalRelay,Undocumented fault condition encountered,Unknown
7/1/2025 14:24,SignalModule,SignalRelay,Signal module 665 sent conflicting commands,Signal Conflict
7/5/2025 4:49,ZoneController,SignalRelay,Balise ID 460 not recognized by Zone Controller,Balise Error
7/1/2025 21:04,ZoneController,ZoneLink,Undocumented fault condition encountered,Unknown
7/2/2025 17:36,ZoneController,ZoneLink,Balise ID 327 not recognized by Zone Controller,Balise Error
7/6/2025 9:10,OnboardUnit,SignalRelay,Log entry could not be classified,Unknown
7/1/2025 23:14,SignalModule,BaliseReader,Balise reader on train 795 failed to detect balise at position 6,Balise Error
7/4/2025 5:02,OnboardUnit,TrainControl,Track circuit 485 failed self-check,Track Circuit Failure
7/7/2025 15:50,ZoneController,TrainControl,Signal overlap detected between train 161 and train 30,Signal Conflict
7/1/2025 12:28,ZoneController,ZoneLink,No response from Zone Controller 785,Communication Fault
7/3/2025 11:47,ATS,SignalRelay,Balise ID 529 not recognized by Zone Controller,Balise Error
7/2/2025 20:05,ZoneController,BaliseReader,Undocumented fault condition encountered,Unknown
7/1/2025 12:33,ATS,BaliseReader,Track circuit 411 failed self-check,Track Circuit Failure
7/2/2025 4:21,SignalModule,SignalRelay,Track circuit 809 failed self-check,Track Circuit Failure
7/4/2025 12:12,ZoneController,ZoneLink,Signal module 242 sent conflicting commands,Signal Conflict
7/3/2025 0:26,OnboardUnit,SignalRelay,Track circuit 865 failed self-check,Track Circuit Failure
7/4/2025 0:37,OnboardUnit,SignalRelay,Balise ID 769 not recognized by Zone Controller,Balise Error
7/1/2025 21:44,SignalModule,SignalRelay,Balise reader on train 127 failed to detect balise at position 42,Balise Error
7/3/2025 0:41,SignalModule,SignalRelay,Signal module 536 sent conflicting commands,Signal Conflict
7/1/2025 15:16,SignalModule,ZoneLink,Undocumented fault condition encountered,Unknown
7/6/2025 8:09,TracksideSensor,TrackCircuit,Track circuit 614 failed self-check,Track Circuit Failure
7/4/2025 1:14,TracksideSensor,BaliseReader,Track circuit 124 failed self-check,Track Circuit Failure
7/7/2025 19:55,SignalModule,SignalRelay,Track circuit 549 is showing occupied for too long,Track Circuit Failure
7/6/2025 0:05,ZoneController,BaliseReader,Unexpected system restart,Unknown
7/3/2025 4:42,TracksideSensor,BaliseReader,Track circuit 409 failed self-check,Track Circuit Failure
7/4/2025 8:34,OnboardUnit,TrainControl,Unexpected system restart,Unknown
7/6/2025 14:44,ATS,TrackCircuit,Balise ID 665 not recognized by Zone Controller,Balise Error
7/4/2025 3:11,SignalModule,SignalRelay,Track circuit 863 failed self-check,Track Circuit Failure
7/4/2025 12:48,OnboardUnit,ZoneLink,Timeout while sending data to ATS,Communication Fault
7/7/2025 3:02,ZoneController,BaliseReader,Unexpected system restart,Unknown
7/5/2025 8:36,ZoneController,TrainControl,Timeout while sending data to ATS,Communication Fault
7/7/2025 17:53,TracksideSensor,BaliseReader,Signal overlap detected between train 728 and train 25,Signal Conflict
7/6/2025 10:06,SignalModule,TrainControl,No response from Zone Controller 789,Communication Fault
7/4/2025 13:49,SignalModule,BaliseReader,No response from Zone Controller 558,Communication Fault
7/1/2025 21:26,TracksideSensor,TrackCircuit,Track circuit 896 failed self-check,Track Circuit Failure
7/5/2025 10:03,ATS,BaliseReader,Undocumented fault condition encountered,Unknown
7/1/2025 23:47,ZoneController,TrainControl,Unexpected system restart,Unknown
7/8/2025 0:58,SignalModule,TrainControl,Undocumented fault condition encountered,Unknown
7/7/2025 15:45,ATS,SignalRelay,Track circuit 295 is showing occupied for too long,Track Circuit Failure
7/8/2025 3:11,SignalModule,BaliseReader,Undocumented fault condition encountered,Unknown
7/6/2025 1:29,OnboardUnit,SignalRelay,No response from Zone Controller 532,Communication Fault
7/5/2025 13:58,SignalModule,TrainControl,Signal overlap detected between train 499 and train 48,Signal Conflict
7/4/2025 1:57,TracksideSensor,TrainControl,Unexpected system restart,Unknown
7/3/2025 12:50,TracksideSensor,ZoneLink,Log entry could not be classified,Unknown
7/7/2025 23:53,TracksideSensor,ZoneLink,Undocumented fault condition encountered,Unknown
7/4/2025 23:05,ATS,BaliseReader,Balise reader on train 919 failed to detect balise at position 25,Balise Error
7/4/2025 7:32,ATS,SignalRelay,Track circuit 886 is showing occupied for too long,Track Circuit Failure
7/6/2025 6:22,OnboardUnit,ZoneLink,Balise reader on train 679 failed to detect balise at position 13,Balise Error
7/4/2025 5:25,ATS,SignalRelay,Unexpected system restart,Unknown
7/5/2025 2:45,SignalModule,TrainControl,Balise ID 449 not recognized by Zone Controller,Balise Error
7/7/2025 18:01,TracksideSensor,BaliseReader,Log entry could not be classified,Unknown
7/1/2025 6:00,SignalModule,ZoneLink,Balise ID 734 not recognized by Zone Controller,Balise Error
7/4/2025 15:25,ATS,SignalRelay,Balise ID 899 not recognized by Zone Controller,Balise Error
7/5/2025 18:53,ATS,TrainControl,Balise ID 891 not recognized by Zone Controller,Balise Error
7/7/2025 9:16,ATS,ZoneLink,Balise reader on train 110 failed to detect balise at position 3,Balise Error
7/6/2025 0:07,ATS,ZoneLink,Log entry could not be classified,Unknown
7/7/2025 10:26,ATS,SignalRelay,Signal module 799 sent conflicting commands,Signal Conflict
7/6/2025 2:58,SignalModule,TrackCircuit,Balise ID 252 not recognized by Zone Controller,Balise Error
7/2/2025 6:39,ZoneController,TrackCircuit,Balise reader on train 700 failed to detect balise at position 5,Balise Error
7/3/2025 11:09,ATS,BaliseReader,Undocumented fault condition encountered,Unknown
7/4/2025 13:49,ZoneController,ZoneLink,Balise reader on train 406 failed to detect balise at position 39,Balise Error
7/5/2025 3:43,OnboardUnit,SignalRelay,Track circuit 132 is showing occupied for too long,Track Circuit Failure
7/5/2025 4:29,OnboardUnit,ZoneLink,Track circuit 780 is showing occupied for too long,Track Circuit Failure
7/6/2025 20:08,SignalModule,ZoneLink,Undocumented fault condition encountered,Unknown
7/6/2025 4:10,TracksideSensor,TrackCircuit,Track circuit 487 is showing occupied for too long,Track Circuit Failure
7/2/2025 5:32,OnboardUnit,TrainControl,Balise reader on train 938 failed to detect balise at position 45,Balise Error
7/2/2025 7:10,OnboardUnit,TrackCircuit,No response from Zone Controller 860,Communication Fault
7/2/2025 3:55,OnboardUnit,BaliseReader,Signal module 704 sent conflicting commands,Signal Conflict
7/1/2025 10:02,SignalModule,BaliseReader,Undocumented fault condition encountered,Unknown
7/6/2025 12:34,TracksideSensor,BaliseReader,Balise ID 675 not recognized by Zone Controller,Balise Error
7/4/2025 5:18,TracksideSensor,BaliseReader,Signal overlap detected between train 866 and train 34,Signal Conflict
7/1/2025 21:38,ZoneController,ZoneLink,Undocumented fault condition encountered,Unknown
7/7/2025 11:24,TracksideSensor,ZoneLink,Track circuit 588 is showing occupied for too long,Track Circuit Failure
7/2/2025 15:13,ZoneController,ZoneLink,Balise ID 533 not recognized by Zone Controller,Balise Error
7/5/2025 17:14,OnboardUnit,BaliseReader,No response from Zone Controller 570,Communication Fault
7/3/2025 20:40,ATS,TrainControl,Balise ID 904 not recognized by Zone Controller,Balise Error
7/1/2025 15:44,ZoneController,BaliseReader,Track circuit 407 failed self-check,Track Circuit Failure
7/4/2025 1:03,SignalModule,ZoneLink,Signal module 381 sent conflicting commands,Signal Conflict
7/7/2025 17:22,SignalModule,BaliseReader,Timeout while sending data to ATS,Communication Fault
7/4/2025 8:37,TracksideSensor,TrackCircuit,Track circuit 117 is showing occupied for too long,Track Circuit Failure
7/3/2025 19:02,ATS,TrackCircuit,Lost communication with train ID 180,Communication Fault
7/5/2025 14:13,ATS,SignalRelay,Balise reader on train 802 failed to detect balise at position 49,Balise Error
7/7/2025 17:06,TracksideSensor,BaliseReader,Balise reader on train 615 failed to detect balise at position 14,Balise Error
7/2/2025 14:14,ATS,ZoneLink,Signal module 937 sent conflicting commands,Signal Conflict
7/7/2025 1:56,ZoneController,BaliseReader,Balise ID 345 not recognized by Zone Controller,Balise Error
7/3/2025 20:32,SignalModule,TrackCircuit,Signal module 555 sent conflicting commands,Signal Conflict
7/3/2025 20:27,ATS,SignalRelay,Track circuit 650 failed self-check,Track Circuit Failure
7/3/2025 18:54,ZoneController,TrainControl,Signal overlap detected between train 961 and train 34,Signal Conflict
7/4/2025 16:52,ZoneController,TrackCircuit,Unexpected system restart,Unknown
7/3/2025 23:09,ATS,SignalRelay,Timeout while sending data to ATS,Communication Fault
7/6/2025 9:47,SignalModule,ZoneLink,Track circuit 525 failed self-check,Track Circuit Failure
7/4/2025 5:14,ATS,BaliseReader,Track circuit 519 failed self-check,Track Circuit Failure
7/6/2025 5:42,ATS,SignalRelay,Track circuit 137 is showing occupied for too long,Track Circuit Failure
7/3/2025 4:53,ZoneController,TrainControl,Signal overlap detected between train 707 and train 23,Signal Conflict
7/2/2025 19:40,SignalModule,ZoneLink,Signal overlap detected between train 425 and train 6,Signal Conflict
7/2/2025 3:33,ZoneController,ZoneLink,Balise reader on train 411 failed to detect balise at position 20,Balise Error
7/7/2025 18:19,ATS,ZoneLink,Signal module 743 sent conflicting commands,Signal Conflict
7/2/2025 1:53,TracksideSensor,SignalRelay,Track circuit 939 is showing occupied for too long,Track Circuit Failure
7/4/2025 10:23,SignalModule,TrainControl,Unexpected system restart,Unknown
7/3/2025 20:47,ATS,SignalRelay,Timeout while sending data to ATS,Communication Fault
7/7/2025 17:44,OnboardUnit,SignalRelay,Lost communication with train ID 927,Communication Fault
7/2/2025 19:14,SignalModule,TrainControl,Balise ID 501 not recognized by Zone Controller,Balise Error
7/6/2025 22:14,ZoneController,TrainControl,Balise ID 543 not recognized by Zone Controller,Balise Error
7/6/2025 5:38,SignalModule,TrackCircuit,Track circuit 194 is showing occupied for too long,Track Circuit Failure
7/3/2025 12:19,TracksideSensor,ZoneLink,Undocumented fault condition encountered,Unknown
7/5/2025 9:37,ATS,SignalRelay,Signal overlap detected between train 922 and train 36,Signal Conflict
7/3/2025 1:12,OnboardUnit,TrainControl,Signal module 754 sent conflicting commands,Signal Conflict
7/3/2025 5:38,ZoneController,ZoneLink,Signal overlap detected between train 304 and train 17,Signal Conflict
7/5/2025 14:26,OnboardUnit,ZoneLink,Track circuit 392 failed self-check,Track Circuit Failure
7/5/2025 2:48,TracksideSensor,BaliseReader,Lost communication with train ID 664,Communication Fault
7/3/2025 22:50,ATS,SignalRelay,Unexpected system restart,Unknown
7/3/2025 18:46,OnboardUnit,ZoneLink,Log entry could not be classified,Unknown
7/5/2025 4:44,ZoneController,SignalRelay,Lost communication with train ID 889,Communication Fault
7/1/2025 14:57,OnboardUnit,ZoneLink,No response from Zone Controller 427,Communication Fault
7/3/2025 16:28,ATS,BaliseReader,Undocumented fault condition encountered,Unknown
7/1/2025 8:43,SignalModule,TrackCircuit,Log entry could not be classified,Unknown
7/3/2025 2:48,OnboardUnit,BaliseReader,Balise ID 466 not recognized by Zone Controller,Balise Error
7/5/2025 13:24,TracksideSensor,TrainControl,Undocumented fault condition encountered,Unknown
7/7/2025 7:16,ZoneController,TrainControl,Track circuit 917 is showing occupied for too long,Track Circuit Failure
7/5/2025 14:30,ZoneController,ZoneLink,Balise reader on train 645 failed to detect balise at position 21,Balise Error
7/4/2025 15:46,SignalModule,TrainControl,Balise reader on train 214 failed to detect balise at position 21,Balise Error
7/2/2025 23:43,SignalModule,TrainControl,Track circuit 713 failed self-check,Track Circuit Failure
7/4/2025 20:57,OnboardUnit,TrackCircuit,Lost communication with train ID 547,Communication Fault
7/3/2025 21:10,OnboardUnit,BaliseReader,Balise ID 208 not recognized by Zone Controller,Balise Error
7/6/2025 11:53,ZoneController,TrackCircuit,No response from Zone Controller 663,Communication Fault
7/2/2025 18:03,ZoneController,TrainControl,Track circuit 326 is showing occupied for too long,Track Circuit Failure
7/7/2025 20:55,OnboardUnit,SignalRelay,No response from Zone Controller 749,Communication Fault
7/3/2025 23:24,SignalModule,ZoneLink,Signal overlap detected between train 295 and train 18,Signal Conflict
7/3/2025 7:58,OnboardUnit,BaliseReader,Log entry could not be classified,Unknown
7/3/2025 10:00,TracksideSensor,ZoneLink,Track circuit 539 failed self-check,Track Circuit Failure
7/5/2025 23:09,SignalModule,TrainControl,Track circuit 789 failed self-check,Track Circuit Failure
7/6/2025 1:11,OnboardUnit,TrackCircuit,Lost communication with train ID 490,Communication Fault
7/1/2025 12:19,ATS,SignalRelay,Balise reader on train 770 failed to detect balise at position 40,Balise Error
7/2/2025 20:45,OnboardUnit,BaliseReader,Balise ID 699 not recognized by Zone Controller,Balise Error
7/8/2025 4:08,SignalModule,ZoneLink,Balise reader on train 226 failed to detect balise at position 38,Balise Error
7/3/2025 20:45,SignalModule,TrainControl,Track circuit 681 is showing occupied for too long,Track Circuit Failure
7/1/2025 21:04,TracksideSensor,TrackCircuit,Track circuit 948 is showing occupied for too long,Track Circuit Failure
7/6/2025 6:38,ATS,BaliseReader,Timeout while sending data to ATS,Communication Fault
7/6/2025 19:51,OnboardUnit,BaliseReader,Signal overlap detected between train 497 and train 47,Signal Conflict
7/1/2025 15:17,OnboardUnit,SignalRelay,No response from Zone Controller 909,Communication Fault
7/4/2025 6:27,OnboardUnit,TrainControl,Track circuit 102 failed self-check,Track Circuit Failure
7/3/2025 15:53,SignalModule,TrackCircuit,Signal overlap detected between train 172 and train 43,Signal Conflict
7/4/2025 18:25,OnboardUnit,TrackCircuit,Balise reader on train 566 failed to detect balise at position 14,Balise Error
7/6/2025 20:16,TracksideSensor,SignalRelay,Undocumented fault condition encountered,Unknown
7/5/2025 15:49,OnboardUnit,SignalRelay,Signal overlap detected between train 953 and train 39,Signal Conflict
7/6/2025 20:31,ZoneController,SignalRelay,No response from Zone Controller 590,Communication Fault
7/2/2025 15:27,ZoneController,SignalRelay,Log entry could not be classified,Unknown
7/4/2025 7:42,ZoneController,ZoneLink,Log entry could not be classified,Unknown
7/3/2025 1:27,ATS,TrainControl,Timeout while sending data to ATS,Communication Fault
7/5/2025 22:49,TracksideSensor,SignalRelay,Lost communication with train ID 703,Communication Fault
7/4/2025 20:56,SignalModule,ZoneLink,Balise reader on train 744 failed to detect balise at position 26,Balise Error
7/7/2025 11:22,OnboardUnit,SignalRelay,Undocumented fault condition encountered,Unknown
7/5/2025 18:31,TracksideSensor,BaliseReader,Unexpected system restart,Unknown
7/7/2025 22:02,TracksideSensor,ZoneLink,Balise reader on train 396 failed to detect balise at position 7,Balise Error
7/1/2025 12:07,OnboardUnit,BaliseReader,Balise ID 531 not recognized by Zone Controller,Balise Error
